nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm9103330	Michael Miller	\N	\N	art_director	tt6917288,tt7207304
nm12505068	Ziya Güçlü	\N	\N	production_manager	tt0392746
nm7722484	Clémence Janesky	\N	\N	art_department,production_designer,set_decorator	tt6543652,tt7458762,tt5687040,tt4687882
nm5362009	Arthur Touchais	\N	\N	director,writer,cinematographer	tt6512794,tt3396870,tt2993186,tt2510034
nm6632348	Danny Garland	\N	\N	\N	\N
nm3719161	Gina D'Onofrio	\N	\N	script_department	tt1560719
nm0847550	Hiraku Takemura	\N	\N	actor	tt0158568,tt0158569
nm2611459	Daniel Ming	\N	\N	actor	tt0436992
nm9344667	Philippe Patois	\N	\N	actor	tt2567714
nm12423091	Michael Oraniuk	\N	\N	miscellaneous	tt13833756
nm5016198	Quinn Anderson	\N	\N	miscellaneous	tt12573480,tt2366007
nm15430777	David Anderson	\N	\N	camera_department	tt0221288
nm4663871	Annie Goodwin	\N	\N	actress	tt2054813
nm10155334	Divya Bandaru	\N	\N	director,actress,writer	tt14049016,tt22072154,tt14915808,tt9025352
nm13429799	Jalisa Bartlett	\N	\N	actress	tt13869038,tt18312048,tt18923482
